Date,Scrip,Name Moving Averages,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action
13-10-2023,HDFCAMC,Simple Moving Average (100),2870.48,1 Min,Sell,2849.73,5 Min,Buy,2849.73,15 Min,Buy,2366.79,30 Min,Buy,2695.68,1 Hour,Buy,2668.98,2 Hour,Buy,2579.51,4 Hour,Buy,2366.79,1 Day,Buy,2366.79,1 Week,Buy,—,1 Month,—
13-10-2023,HDFCAMC,Exponential Moving Average (200),2869.84,1 Min,Sell,2814.92,5 Min,Buy,2814.92,15 Min,Buy,2257.73,30 Min,Buy,2655.34,1 Hour,Buy,2574.07,2 Hour,Buy,2415.99,4 Hour,Buy,2257.73,1 Day,Buy,2257.73,1 Week,Buy,—,1 Month,—
13-10-2023,HDFCAMC,Simple Moving Average (200),2875.69,1 Min,Sell,2799.5,5 Min,Buy,2799.5,15 Min,Buy,2120.86,30 Min,Buy,2642.51,1 Hour,Buy,2580.64,2 Hour,Buy,2364.58,4 Hour,Buy,2120.86,1 Day,Buy,2120.86,1 Week,Buy,—,1 Month,—
13-10-2023,HDFCAMC,"Ichimoku Base Line (9, 26, 52, 26)",2855,1 Min,Neutral,2870,5 Min,Neutral,2870,15 Min,Neutral,2678,30 Min,Neutral,2812,1 Hour,Neutral,2776.95,2 Hour,Neutral,2736.33,4 Hour,Neutral,2678,1 Day,Neutral,2678,1 Week,Neutral,2477.25,1 Month,Neutral
13-10-2023,HDFCAMC,Volume Weighted Moving Average (20),2853.01,1 Min,Sell,2866.68,5 Min,Sell,2866.68,15 Min,Sell,2708.26,30 Min,Buy,2832.4,1 Hour,Buy,2801.79,2 Hour,Buy,2761.52,4 Hour,Buy,2708.26,1 Day,Buy,2708.26,1 Week,Buy,2158.64,1 Month,Buy
13-10-2023,HDFCAMC,Hull Moving Average (9),2852.62,1 Min,Sell,2849.69,5 Min,Buy,2849.69,15 Min,Buy,2805.69,30 Min,Buy,2875.33,1 Hour,Sell,2892.87,2 Hour,Sell,2832.9,4 Hour,Buy,2805.69,1 Day,Buy,2805.69,1 Week,Buy,2861.28,1 Month,Sell
13-10-2023,METROPOLIS,Exponential Moving Average (10),1555.25,1 Min,Sell,1556.95,5 Min,Sell,1555.21,15 Min,Sell,1551.6,30 Min,Buy,1541.68,1 Hour,Buy,1526.22,2 Hour,Buy,1502.27,4 Hour,Buy,1484,1 Day,Buy,1444.61,1 Week,Buy,1448.33,1 Month,Buy
13-10-2023,METROPOLIS,Simple Moving Average (10),1556.38,1 Min,Sell,1557.06,5 Min,Sell,1552.91,15 Min,Buy,1558.61,30 Min,Sell,1543.58,1 Hour,Buy,1515.41,2 Hour,Buy,1497.29,4 Hour,Buy,1476.82,1 Day,Buy,1420.6,1 Week,Buy,1368.1,1 Month,Buy
13-10-2023,METROPOLIS,Exponential Moving Average (20),1556.59,1 Min,Sell,1556.09,5 Min,Sell,1551.19,15 Min,Buy,1538.52,30 Min,Buy,1521.75,1 Hour,Buy,1504.84,2 Hour,Buy,1482.58,4 Hour,Buy,1461.16,1 Day,Buy,1408.82,1 Week,Buy,1571.05,1 Month,Sell
13-10-2023,METROPOLIS,Simple Moving Average (20),1557.58,1 Min,Sell,1555.9,5 Min,Sell,1559.14,15 Min,Sell,1538.63,30 Min,Buy,1508.13,1 Hour,Buy,1499.75,2 Hour,Buy,1476.22,4 Hour,Buy,1461.31,1 Day,Buy,1402.9,1 Week,Buy,1509.54,1 Month,Buy
13-10-2023,METROPOLIS,Exponential Moving Average (30),1556.87,1 Min,Sell,1555.63,5 Min,Sell,1544,15 Min,Buy,1527.09,30 Min,Buy,1509.21,1 Hour,Buy,1492.56,2 Hour,Buy,1470.62,4 Hour,Buy,1446.3,1 Day,Buy,1400.61,1 Week,Buy,1619.12,1 Month,Sell
